Strategy 1,Strategy 2,Result 1,Result 2,Move 1,Move 2
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,0,5,cooperate,defect
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
MrNiceGuy,ForgiveButDontForget,3,3,cooperate,cooperate
MrNiceGuy,BadAlternator,0,5,cooperate,defect
MrNiceGuy,RitualDefection,0,5,cooperate,defect
MrNiceGuy,TripleThreat,0,5,cooperate,defect
BadCop,TitForTat,1,1,defect,defect
BadCop,ImSoRandom,1,1,defect,defect
BadCop,CalculatedDefector,1,1,defect,defect
BadCop,HoldingAGrudge,1,1,defect,defect
BadCop,ForgiveButDontForget,1,1,defect,defect
BadCop,BadAlternator,1,1,defect,defect
BadCop,RitualDefection,1,1,defect,defect
BadCop,TripleThreat,5,0,defect,cooperate
TitForTat,ImSoRandom,5,0,defect,cooperate
TitForTat,CalculatedDefector,3,3,cooperate,cooperate
TitForTat,HoldingAGrudge,3,3,cooperate,cooperate
TitForTat,ForgiveButDontForget,3,3,cooperate,cooperate
TitForTat,BadAlternator,0,5,cooperate,defect
TitForTat,RitualDefection,0,5,cooperate,defect
TitForTat,TripleThreat,5,0,defect,cooperate
ImSoRandom,CalculatedDefector,1,1,defect,defect
ImSoRandom,HoldingAGrudge,1,1,defect,defect
ImSoRandom,ForgiveButDontForget,1,1,defect,defect
ImSoRandom,BadAlternator,0,5,cooperate,defect
ImSoRandom,RitualDefection,0,5,cooperate,defect
ImSoRandom,TripleThreat,0,5,cooperate,defect
CalculatedDefector,HoldingAGrudge,3,3,cooperate,cooperate
CalculatedDefector,ForgiveButDontForget,3,3,cooperate,cooperate
CalculatedDefector,BadAlternator,1,1,defect,defect
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,0,5,cooperate,defect
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
MrNiceGuy,ForgiveButDontForget,3,3,cooperate,cooperate
MrNiceGuy,BadAlternator,0,5,cooperate,defect
MrNiceGuy,RitualDefection,0,5,cooperate,defect
MrNiceGuy,TripleThreat,0,5,cooperate,defect
BadCop,TitForTat,1,1,defect,defect
BadCop,ImSoRandom,1,1,defect,defect
BadCop,CalculatedDefector,1,1,defect,defect
BadCop,HoldingAGrudge,1,1,defect,defect
BadCop,ForgiveButDontForget,1,1,defect,defect
BadCop,BadAlternator,1,1,defect,defect
BadCop,RitualDefection,1,1,defect,defect
BadCop,TripleThreat,5,0,defect,cooperate
TitForTat,ImSoRandom,1,1,defect,defect
TitForTat,CalculatedDefector,3,3,cooperate,cooperate
TitForTat,HoldingAGrudge,3,3,cooperate,cooperate
TitForTat,ForgiveButDontForget,3,3,cooperate,cooperate
TitForTat,BadAlternator,0,5,cooperate,defect
TitForTat,RitualDefection,0,5,cooperate,defect
TitForTat,TripleThreat,5,0,defect,cooperate
ImSoRandom,CalculatedDefector,0,5,cooperate,defect
ImSoRandom,HoldingAGrudge,0,5,cooperate,defect
ImSoRandom,ForgiveButDontForget,1,1,defect,defect
ImSoRandom,BadAlternator,0,5,cooperate,defect
ImSoRandom,RitualDefection,0,5,cooperate,defect
ImSoRandom,TripleThreat,0,5,cooperate,defect
CalculatedDefector,HoldingAGrudge,3,3,cooperate,cooperate
CalculatedDefector,ForgiveButDontForget,3,3,cooperate,cooperate
CalculatedDefector,BadAlternator,1,1,defect,defect
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,0,5,cooperate,defect
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
MrNiceGuy,ForgiveButDontForget,3,3,cooperate,cooperate
MrNiceGuy,BadAlternator,0,5,cooperate,defect
MrNiceGuy,RitualDefection,0,5,cooperate,defect
MrNiceGuy,TripleThreat,0,5,cooperate,defect
BadCop,TitForTat,1,1,defect,defect
BadCop,ImSoRandom,5,0,defect,cooperate
BadCop,CalculatedDefector,1,1,defect,defect
BadCop,HoldingAGrudge,1,1,defect,defect
BadCop,ForgiveButDontForget,1,1,defect,defect
BadCop,BadAlternator,1,1,defect,defect
BadCop,RitualDefection,1,1,defect,defect
BadCop,TripleThreat,5,0,defect,cooperate
TitForTat,ImSoRandom,5,0,defect,cooperate
TitForTat,CalculatedDefector,3,3,cooperate,cooperate
TitForTat,HoldingAGrudge,3,3,cooperate,cooperate
TitForTat,ForgiveButDontForget,3,3,cooperate,cooperate
TitForTat,BadAlternator,0,5,cooperate,defect
TitForTat,RitualDefection,0,5,cooperate,defect
TitForTat,TripleThreat,5,0,defect,cooperate
ImSoRandom,CalculatedDefector,1,1,defect,defect
ImSoRandom,HoldingAGrudge,0,5,cooperate,defect
ImSoRandom,ForgiveButDontForget,0,5,cooperate,defect
ImSoRandom,BadAlternator,1,1,defect,defect
ImSoRandom,RitualDefection,1,1,defect,defect
ImSoRandom,TripleThreat,0,5,cooperate,defect
CalculatedDefector,HoldingAGrudge,3,3,cooperate,cooperate
CalculatedDefector,ForgiveButDontForget,3,3,cooperate,cooperate
CalculatedDefector,BadAlternator,1,1,defect,defect
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,0,5,cooperate,defect
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
MrNiceGuy,ForgiveButDontForget,3,3,cooperate,cooperate
MrNiceGuy,BadAlternator,0,5,cooperate,defect
MrNiceGuy,RitualDefection,0,5,cooperate,defect
MrNiceGuy,TripleThreat,0,5,cooperate,defect
BadCop,TitForTat,1,1,defect,defect
BadCop,ImSoRandom,1,1,defect,defect
BadCop,CalculatedDefector,1,1,defect,defect
BadCop,HoldingAGrudge,1,1,defect,defect
BadCop,ForgiveButDontForget,1,1,defect,defect
BadCop,BadAlternator,1,1,defect,defect
BadCop,RitualDefection,1,1,defect,defect
BadCop,TripleThreat,5,0,defect,cooperate
TitForTat,ImSoRandom,3,3,cooperate,cooperate
TitForTat,CalculatedDefector,3,3,cooperate,cooperate
TitForTat,HoldingAGrudge,3,3,cooperate,cooperate
TitForTat,ForgiveButDontForget,3,3,cooperate,cooperate
TitForTat,BadAlternator,0,5,cooperate,defect
TitForTat,RitualDefection,0,5,cooperate,defect
TitForTat,TripleThreat,5,0,defect,cooperate
ImSoRandom,CalculatedDefector,1,1,defect,defect
ImSoRandom,HoldingAGrudge,0,5,cooperate,defect
ImSoRandom,ForgiveButDontForget,0,5,cooperate,defect
ImSoRandom,BadAlternator,1,1,defect,defect
ImSoRandom,RitualDefection,1,1,defect,defect
ImSoRandom,TripleThreat,0,5,cooperate,defect
CalculatedDefector,HoldingAGrudge,3,3,cooperate,cooperate
CalculatedDefector,ForgiveButDontForget,3,3,cooperate,cooperate
CalculatedDefector,BadAlternator,1,1,defect,defect
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,3,3,cooperate,cooperate
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
MrNiceGuy,ForgiveButDontForget,3,3,cooperate,cooperate
MrNiceGuy,BadAlternator,0,5,cooperate,defect
MrNiceGuy,RitualDefection,0,5,cooperate,defect
MrNiceGuy,TripleThreat,0,5,cooperate,defect
BadCop,TitForTat,1,1,defect,defect
BadCop,ImSoRandom,1,1,defect,defect
BadCop,CalculatedDefector,1,1,defect,defect
BadCop,HoldingAGrudge,1,1,defect,defect
BadCop,ForgiveButDontForget,1,1,defect,defect
BadCop,BadAlternator,1,1,defect,defect
BadCop,RitualDefection,1,1,defect,defect
BadCop,TripleThreat,5,0,defect,cooperate
TitForTat,ImSoRandom,3,3,cooperate,cooperate
TitForTat,CalculatedDefector,3,3,cooperate,cooperate
TitForTat,HoldingAGrudge,3,3,cooperate,cooperate
TitForTat,ForgiveButDontForget,3,3,cooperate,cooperate
TitForTat,BadAlternator,0,5,cooperate,defect
TitForTat,RitualDefection,0,5,cooperate,defect
TitForTat,TripleThreat,5,0,defect,cooperate
ImSoRandom,CalculatedDefector,1,1,defect,defect
ImSoRandom,HoldingAGrudge,1,1,defect,defect
ImSoRandom,ForgiveButDontForget,0,5,cooperate,defect
ImSoRandom,BadAlternator,0,5,cooperate,defect
ImSoRandom,RitualDefection,1,1,defect,defect
ImSoRandom,TripleThreat,0,5,cooperate,defect
CalculatedDefector,HoldingAGrudge,3,3,cooperate,cooperate
CalculatedDefector,ForgiveButDontForget,3,3,cooperate,cooperate
CalculatedDefector,BadAlternator,1,1,defect,defect
CalculatedDefector,RitualDefection,0,5,cooperate,defect
CalculatedDefector,TripleThreat,5,0,defect,cooperate
HoldingAGrudge,ForgiveButDontForget,3,3,cooperate,cooperate
HoldingAGrudge,BadAlternator,1,1,defect,defect
HoldingAGrudge,RitualDefection,1,1,defect,defect
HoldingAGrudge,TripleThreat,5,0,defect,cooperate
ForgiveButDontForget,BadAlternator,0,5,cooperate,defect
ForgiveButDontForget,RitualDefection,0,5,cooperate,defect
ForgiveButDontForget,TripleThreat,0,5,cooperate,defect
BadAlternator,RitualDefection,1,1,defect,defect
BadAlternator,TripleThreat,5,0,defect,cooperate
RitualDefection,TripleThreat,5,0,defect,cooperate
MrNiceGuy,BadCop,0,5,cooperate,defect
MrNiceGuy,TitForTat,3,3,cooperate,cooperate
MrNiceGuy,ImSoRandom,0,5,cooperate,defect
MrNiceGuy,CalculatedDefector,3,3,cooperate,cooperate
MrNiceGuy,HoldingAGrudge,3,3,cooperate,cooperate
